"dilfactor","Interaction_presence","Interaction_value","Interaction_sign","Mutual_interactions","Number of iterations","Number of dilution cycles","Fixation_threshold","group_success_rate","success_rate","shannons","group_extinctions"
0.05,1,1,1,FALSE,100,200,0.5,"0;0;0",0,"3.48754270277982;3.48743620620714;3.51706968689616","0;0;0"
0.05,0.1,1,1,FALSE,100,200,0.5,"0;0;0",0,"3.29199100272401;3.29232156171992;3.32123068353202","0;0;0"
0.05,0.01,1,1,FALSE,100,200,0.5,"0.99;1;1",0.99,"0.645794034116293;0.819173944980181;0.841384595015676","0;0;0"
0.05,0.1,1,-1,FALSE,100,200,0.5,"1;1;1",1,"0.817217453776009;0.796207510342582;0.965595139824322","0;0;0"
0.05,0.01,1,-1,FALSE,100,200,0.5,"1;1;1",1,"0.887340743288451;0.87174524780221;0.968485456752239","0;0;0"
0.05,1,1,2,FALSE,100,200,0.5,"0;0;0",0,"2.52725364135014;2.54532467456572;2.56309303096903","0;0;0"
0.05,0.1,1,2,FALSE,100,200,0.5,"0.05;0.06;0.05",0.04,"2.07708312828233;2.06821617451928;2.11330258464076","0;0;0"
0.05,0.01,1,2,FALSE,100,200,0.5,"1;1;1",1,"0.766361071834917;0.777860026460549;0.621332339853001","0;0;0"
0.05,1,0.1,1,FALSE,100,200,0.5,"0;0;0",0,"3.48557297129938;3.48595405058628;3.51481066068157","0;0;0"
0.05,0.1,0.1,1,FALSE,100,200,0.5,"0;0;0",0,"3.2402396094574;3.25444534716625;3.27752196400668","0;0;0"
0.05,0.01,0.1,1,FALSE,100,200,0.5,"0.99;1;0.99",0.98,"0.868507711787877;0.803106121221791;0.870701905795276","0;0;0"
0.05,1,0.1,-1,FALSE,100,200,0.5,"0.93;1;0.94",0.87,"0.302909268439517;0.345502756014052;0.432508195188987","0.07;0;0.06"
0.05,0.1,0.1,-1,FALSE,100,200,0.5,"1;1;1",1,"0.940435558099522;0.795915417329811;0.949626813210743","0;0;0"
0.05,0.01,0.1,-1,FALSE,100,200,0.5,"1;1;1",1,"0.908475732444466;0.854821313441667;0.998315750086719","0;0;0"
0.05,1,0.1,2,FALSE,100,200,0.5,"0;0;0",0,"2.53404792843589;2.53534174667049;2.57597194373722","0;0;0"
0.05,0.1,0.1,2,FALSE,100,200,0.5,"0.13;0.1;0.11",0.09,"1.96513778624951;1.99905289614751;1.99208795345455","0;0;0"
0.05,0.01,0.1,2,FALSE,100,200,0.5,"1;1;1",1,"0.78005234500109;0.786746579611559;0.863248257023142","0;0;0"
0.05,1,0.01,1,FALSE,100,200,0.5,"0;0;0",0,"3.447554845833;3.44739580100458;3.47677271083858","0;0;0"
0.05,0.1,0.01,1,FALSE,100,200,0.5,"0;0;0",0,"2.76776578488919;2.77163379553075;2.77434914930131","0;0;0"
0.05,0.01,0.01,1,FALSE,100,200,0.5,"1;1;0.99",0.99,"0.954632733535629;0.939125927401792;1.00012338986328","0;0;0"
0.05,1,0.01,-1,FALSE,100,200,0.5,"1;1;1",1,"0.727461431364108;0.697784397861716;0.857476207003076","0;0;0"
0.05,0.1,0.01,-1,FALSE,100,200,0.5,"1;1;1",1,"0.918303728045199;0.884542952777446;0.902847055767344","0;0;0"
0.05,0.01,0.01,-1,FALSE,100,200,0.5,"1;1;1",1,"0.930264942946346;0.922681377859623;0.951725856933429","0;0;0"
0.05,1,0.01,2,FALSE,100,200,0.5,"0;0;0",0,"2.43620494319241;2.43043354751526;2.47484609490973","0;0;0"
0.05,0.1,0.01,2,FALSE,100,200,0.5,"0.25;0.26;0.29",0.15,"1.60995973764578;1.6144067568077;1.6429164532184","0;0;0"
0.05,0.01,0.01,2,FALSE,100,200,0.5,"1;1;1",1,"0.929076538867164;0.888268143719989;0.983733976019076","0;0;0"
0.05,1,0.001,1,FALSE,100,200,0.5,"0;0;0",0,"3.00912182906266;3.02597629412433;3.0285224810259","0;0;0"
0.05,0.1,0.001,1,FALSE,100,200,0.5,"0.63;0.65;0.64",0.48,"1.35666540042571;1.31996125510588;1.32052876043089","0;0;0"
0.05,0.01,0.001,1,FALSE,100,200,0.5,"1;1;1",1,"0.881844983338359;0.901394587313052;0.968174132731534","0;0;0"
0.05,1,0.001,-1,FALSE,100,200,0.5,"1;1;1",1,"0.917831163704771;0.919703110704728;0.861153389623884","0;0;0"
0.05,0.1,0.001,-1,FALSE,100,200,0.5,"1;1;1",1,"0.928671783725605;0.883016205966441;0.899873633605955","0;0;0"
0.05,0.01,0.001,-1,FALSE,100,200,0.5,"1;1;1",1,"0.936476180790391;0.887258100658981;0.880276449281351","0;0;0"
0.05,1,0.001,2,FALSE,100,200,0.5,"0.17;0.13;0.19",0.02,"1.79494643858192;1.8161297169342;1.81743852124192","0;0;0"
0.05,0.1,0.001,2,FALSE,100,200,0.5,"0.98;0.97;0.98",0.95,"1.05147708813088;1.03209637608752;1.06056424662867","0;0;0"
0.05,0.01,0.001,2,FALSE,100,200,0.5,"1;1;1",1,"0.91369535287754;0.850642043919886;0.928039197758169","0;0;0"
0.05,1,1e-04,1,FALSE,100,200,0.5,"0.58;0.61;0.57",0.43,"1.48487058247086;1.46524351601259;1.47483745164412","0;0;0"
0.05,0.1,1e-04,1,FALSE,100,200,0.5,"1;1;1",1,"0.968314504776822;0.943634697185819;0.927273516239586","0;0;0"
0.05,0.01,1e-04,1,FALSE,100,200,0.5,"1;1;1",1,"0.871560269593826;0.869159587902576;0.917309521001219","0;0;0"
0.05,1,1e-04,-1,FALSE,100,200,0.5,"1;1;1",1,"0.898813503467345;0.891574045541941;0.941490323106978","0;0;0"
0.05,0.1,1e-04,-1,FALSE,100,200,0.5,"1;1;1",1,"0.939581326377385;0.885345408680251;0.894537172932751","0;0;0"
0.05,0.01,1e-04,-1,FALSE,100,200,0.5,"1;1;1",1,"0.92612195589989;0.892677942273343;0.919682023452314","0;0;0"
0.05,1,1e-04,2,FALSE,100,200,0.5,"0.97;0.98;1",0.97,"1.02926152825096;1.01741341266014;1.02329500503767","0;0;0"
0.05,0.1,1e-04,2,FALSE,100,200,0.5,"1;0.99;1",0.99,"0.95502692876678;0.860283474938602;0.93780788166954","0;0;0"
0.05,0.01,1e-04,2,FALSE,100,200,0.5,"1;1;1",1,"0.919685065611331;0.885694436177837;0.93222486845132","0;0;0"
